id,restraunt_camis,inspection_date,inspection_type,action,score,grade,grade_date
268,50045328,2024-10-09,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2024-10-09
269,50160910,2025-01-07,Smoke-Free Air Act / Re-inspection,Violations were cited in the following area(s).,,,
270,50097040,2023-01-06,Cycle Inspection / Reopening Inspection,Establishment re-opened by DOHMH.,0,C,2023-01-06
271,50067605,2023-01-18,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2023-01-18
272,50105594,2025-04-19,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
273,41645673,2025-05-19,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,22,,
274,50039083,2023-01-31,Cycle Inspection / Re-inspection,No violations were recorded at the time of this inspection.,0,A,2023-01-31
275,50093481,2024-11-06,Cycle Inspection / Reopening Inspection,Establishment re-opened by DOHMH.,0,,
276,50114664,2023-10-05,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,27,,
277,50114100,2024-10-03,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
278,50005068,2023-01-24,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2023-01-24
279,50131273,2023-06-12,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,36,C,2023-06-12
280,50066707,2024-10-28,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,0,,
281,50164292,2025-05-05,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,31,N,
282,50118137,2023-10-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
283,50008164,2023-10-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2023-10-30
284,50011586,2024-05-07,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,22,,
285,40383281,2025-02-26,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
286,50008666,2024-10-07,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,32,,
287,50044531,2023-05-15,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,17,,
288,50112608,2023-09-12,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,65,C,2023-09-12
289,50082492,2023-01-25,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,36,C,2023-01-25
290,50128607,2025-07-23,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,55,,
291,50072605,2025-05-20,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,42,,
292,41665255,2023-04-27,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,24,,
293,50135417,2025-05-13,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,20,,
294,50159766,2024-12-14,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
295,50008496,2024-07-25,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,10,A,2024-07-25
296,40399174,2024-10-22,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,24,Z,2024-10-22
297,40954991,2023-03-17,Cycle Inspection / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
298,41700337,2024-10-05,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
299,50134501,2024-07-16,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
300,50121689,2025-01-30,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,21,B,2025-01-30
301,50087453,2023-02-15,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
302,41636015,2024-04-16,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,21,,
303,50110727,2024-11-13,Cycle Inspection / Reopening Inspection,Establishment re-opened by DOHMH.,0,P,2024-11-13
304,50138450,2023-08-31,Pre-permit (Operational) / Reopening Inspection,Establishment re-opened by DOHMH.,0,C,2023-08-31
305,50105651,2023-05-18,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,64,,
306,50040217,2024-04-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
307,50084598,2023-02-13,Cycle Inspection / Reopening Inspection,Establishment re-opened by DOHMH.,16,C,2023-02-13
308,41385076,2024-02-20,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
309,50143698,2025-03-13,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
310,50050042,2024-01-17,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,22,,
311,50130040,2023-04-19,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,42,C,2023-04-19
312,41574650,2025-06-26,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,36,C,2025-06-26
313,50146853,2025-07-11,Cycle Inspection / Reopening Inspection,Establishment re-closed by DOHMH.,47,,
314,50103653,2025-04-16,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,28,,
315,41688132,2025-01-25,Cycle Inspection / Initial Inspection,No violations were recorded at the time of this inspection.,0,A,2025-01-25
316,40387861,2024-05-18,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
317,50125911,2024-10-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,32,,
318,41344229,2025-03-26,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,23,,
319,50129862,2024-07-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,45,,
320,41668282,2025-06-04,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,24,,
321,50046281,2024-06-26,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,33,,
322,50118176,2025-08-13,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,30,Z,2025-08-13
323,41688146,2023-12-02,Cycle Inspection / Initial Inspection,No violations were recorded at the time of this inspection.,0,A,2023-12-02
324,50137120,2024-12-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
325,41317177,2023-03-15,Smoke-Free Air Act / Initial Inspection,Violations were cited in the following area(s).,,,
326,41396554,2023-03-23,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
327,50141338,2025-05-21,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,30,,
328,50075543,2023-10-23,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,19,B,2023-10-23
329,50144098,2024-06-29,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
330,50170993,2025-07-08,Pre-permit (Operational) / Initial Inspection,No violations were recorded at the time of this inspection.,0,A,2025-07-08
331,50000473,2025-08-05,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,27,Z,2025-08-05
332,50132527,2025-01-16,Cycle Inspection / Reopening Inspection,Establishment re-closed by DOHMH.,12,,
333,50139024,2025-08-27,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,34,,
334,50128628,2025-02-05,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2025-02-05
335,50115485,2024-09-27,Smoke-Free Air Act / Re-inspection,No violations were recorded at the time of this inspection.,,,
336,41359575,2024-08-07,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,38,,
337,50111463,2024-06-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,68,,
338,50016457,2024-08-15,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,15,B,2024-08-15
339,50108576,2024-06-15,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
340,50107156,2024-12-07,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
341,50011586,2024-08-28,Cycle Inspection / Reopening Inspection,Establishment re-closed by DOHMH.,14,,
342,50104702,2023-02-02,Smoke-Free Air Act / Initial Inspection,Violations were cited in the following area(s).,,,
343,50126220,2024-12-23,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2024-12-23
344,50150508,2024-11-26,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,11,A,2024-11-26
345,50105567,2024-10-02,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,42,,
346,40958354,2024-05-09,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,20,,
347,50056980,2025-05-28,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,21,,
348,40423403,2025-01-09,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
349,50008955,2025-03-18,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,33,,
350,50108893,2024-10-04,Cycle Inspection / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
351,41454419,2024-12-09,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,25,B,2024-12-09
352,50120682,2024-05-07,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,11,A,2024-05-07
353,50101559,2023-03-08,Cycle Inspection / Re-inspection,No violations were recorded at the time of this inspection.,0,A,2023-03-08
354,50137037,2023-06-20,Pre-permit (Operational) / Reopening Inspection,Establishment re-opened by DOHMH.,0,P,2023-06-20
355,50044598,2025-02-01,Cycle Inspection / Initial Inspection,No violations were recorded at the time of this inspection.,0,A,2025-02-01
356,50116944,2024-07-06,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
357,40837042,2023-11-27,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2023-11-27
358,50117962,2025-06-20,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,46,,
359,50076227,2024-11-25,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,6,A,2024-11-25
360,50009989,2025-04-21,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,7,A,2025-04-21
361,50083891,2025-05-04,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
362,50117415,2025-01-28,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,30,C,2025-01-28
363,50109923,2024-05-02,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,33,,
364,40865946,2024-09-09,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
365,50135815,2023-12-28,Smoke-Free Air Act / Initial Inspection,Violations were cited in the following area(s).,,,
366,41600223,2025-03-18,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,30,,
367,50073091,2023-05-04,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,46,,
368,50040265,2023-04-05,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,24,B,2023-04-05
369,50034573,2023-10-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,9,A,2023-10-30
370,50095108,2024-06-07,Cycle Inspection / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
371,50127351,2023-10-31,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,11,A,2023-10-31
372,50087764,2025-04-29,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,17,B,2025-04-29
373,50000113,2024-01-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,33,,
374,41623174,2023-02-14,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,26,,
375,50073108,2025-04-19,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
376,50129944,2024-12-18,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,13,A,2024-12-18
377,41022989,2024-09-13,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
378,50135628,2025-01-08,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2025-01-08
379,50122846,2023-10-12,Pre-permit (Operational) / Reopening Inspection,Establishment re-opened by DOHMH.,0,,
380,40397574,2024-08-01,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,32,,
381,50135594,2024-09-26,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,2,A,2024-09-26
382,41656924,2023-11-21,Administrative Miscellaneous / Re-inspection,No violations were recorded at the time of this inspection.,,,
383,50109434,2024-04-12,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,26,B,2024-04-12
384,50081136,2024-03-05,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,11,A,2024-03-05
385,50128581,2025-08-27,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,40,,
386,50087667,2024-12-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,58,,
387,50141699,2025-06-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
388,50156861,2025-04-29,Pre-permit (Operational) / Initial Inspection,No violations were recorded at the time of this inspection.,0,A,2025-04-29
389,50075461,2024-04-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,22,,
390,50158730,2024-12-03,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,49,,
391,50065197,2024-05-01,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2024-05-01
392,50160092,2025-05-17,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
393,41519688,2025-06-25,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,35,,
394,50105373,2025-04-07,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2025-04-07
395,50106365,2024-10-19,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
396,50064436,2024-03-20,Administrative Miscellaneous / Re-inspection,No violations were recorded at the time of this inspection.,,,
397,50107403,2023-02-14,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,18,,
398,50063834,2024-05-02,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,10,A,2024-05-02
399,50127492,2025-02-04,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,44,C,2025-02-04
400,50139652,2025-04-15,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,30,,
401,40949905,2025-06-05,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
402,50033252,2024-12-04,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
403,50103023,2024-10-15,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2024-10-15
404,50131346,2025-04-10,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,46,,
405,40877741,2024-10-01,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2024-10-01
406,50131738,2025-08-01,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,24,,
407,50044623,2025-02-01,Cycle Inspection / Initial Inspection,No violations were recorded at the time of this inspection.,0,A,2025-02-01
408,50155845,2025-07-25,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
409,50137300,2024-06-15,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
410,50017406,2025-07-22,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,10,A,2025-07-22
411,50124448,2025-02-10,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,50,C,2025-02-10
412,40369641,2023-05-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2023-05-11
413,50164407,2025-06-13,Pre-permit (Operational) / Reopening Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,44,,
414,50018288,2025-05-29,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,51,,
415,50098773,2023-10-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,20,,
416,50083864,2024-01-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,56,,
417,50160793,2025-02-27,Pre-permit (Operational) / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,112,,
418,50073545,2023-06-01,Administrative Miscellaneous / Re-inspection,Violations were cited in the following area(s).,,,
419,50140840,2025-06-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,30,,
420,50088490,2024-07-29,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,11,A,2024-07-29
421,50128802,2023-06-28,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,7,A,2023-06-28
422,50091227,2023-12-08,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2023-12-08
423,50000946,2024-10-25,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,13,A,2024-10-25
424,50074193,2024-01-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,19,,
425,50135958,2025-01-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
426,50045763,2024-06-14,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,37,C,2024-06-14
427,41149373,2023-01-04,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,30,C,2023-01-04
428,41177892,2023-01-30,Cycle Inspection / Compliance Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,25,,
429,50077336,2024-12-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,11,A,2024-12-11
430,40513184,2023-02-09,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,30,,
431,50047927,2025-05-20,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,27,Z,2025-05-20
432,40791157,2025-05-06,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,24,Z,2025-05-06
433,50113413,2024-07-25,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,30,,
434,50140170,2025-07-31,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,37,,
435,50069329,2025-02-03,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,33,C,2025-02-03
436,50089236,2023-01-04,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,27,B,2023-01-04
437,50087839,2023-05-31,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,19,,
438,50142490,2024-02-27,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,25,,
439,50153738,2024-11-15,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,30,,
440,50107335,2024-11-07,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,68,,
441,50112865,2024-05-30,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2024-05-30
442,41293756,2024-01-31,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,37,,
443,50127633,2023-09-28,Pre-permit (Operational) / Reopening Inspection,Establishment re-opened by DOHMH.,4,P,2023-09-28
444,50152245,2024-09-05,Pre-permit (Operational) / Reopening Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,24,,
445,50065564,2024-05-14,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,9,A,2024-05-14
446,50159802,2025-05-28,Smoke-Free Air Act / Initial Inspection,Violations were cited in the following area(s).,,,
447,50055882,2023-06-14,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,36,,
448,50134796,2025-01-27,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,45,C,2025-01-27
449,50136061,2024-09-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,24,N,
450,41379215,2024-10-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,42,,
451,40400453,2023-01-04,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,4,A,2023-01-04
452,41668500,2024-01-04,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
453,50072803,2023-11-06,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,26,,
454,50001168,2023-12-11,Cycle Inspection / Compliance Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,83,,
455,50153033,2025-02-27,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,6,A,2025-02-27
456,41630064,2024-02-29,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,10,A,2024-02-29
457,50075450,2024-05-07,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,39,,
458,50007352,2025-05-17,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
459,50053225,2025-06-05,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,11,A,2025-06-05
460,50134859,2023-05-11,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,20,B,2023-05-11
461,50089916,2024-03-22,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,46,,
462,50049766,2025-02-05,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
463,50136410,2023-10-23,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
464,50158026,2025-02-06,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,9,A,2025-02-06
465,50125080,2023-12-07,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,30,,
466,50097138,2023-11-17,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,13,A,2023-11-17
467,50110163,2023-03-15,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,39,,
468,50102671,2024-12-12,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2024-12-12
469,50060415,2024-11-14,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,8,A,2024-11-14
470,50124121,2025-04-01,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,37,,
471,50101595,2024-05-31,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2024-05-31
472,50105379,2024-08-23,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,41,,
473,50114016,2023-11-18,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,10,A,2023-11-18
474,40394761,2024-08-08,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2024-08-08
475,50122796,2024-12-09,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,33,,
476,50131124,2024-07-25,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,8,A,2024-07-25
477,50069194,2024-08-23,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,7,A,2024-08-23
478,50161136,2025-04-22,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,13,A,2025-04-22
479,41654555,2024-08-08,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,23,B,2024-08-08
480,50124939,2024-09-19,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2024-09-19
481,41490282,2024-12-12,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,10,A,2024-12-12
482,50130412,2025-01-28,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,19,B,2025-01-28
483,50102329,2024-09-02,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
484,50083250,2024-06-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,23,,
485,50119795,2023-03-21,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,31,,
486,50171293,2025-06-25,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
487,50138853,2024-01-09,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,24,B,2024-01-09
488,50138270,2024-09-30,Cycle Inspection / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,79,,
489,50145249,2024-01-08,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
490,50088652,2025-05-22,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,42,,
491,50162047,2025-03-17,Pre-permit (Operational) / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,65,,
492,50056450,2023-04-28,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,37,,
493,50105213,2023-03-23,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2023-03-23
494,40986218,2025-07-11,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,25,B,2025-07-11
495,50129516,2024-09-29,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,7,A,2024-09-29
496,50125014,2023-09-12,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,30,,
497,50006350,2023-11-13,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,38,,
498,50009411,2024-09-25,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,26,B,2024-09-25
499,50112918,2024-06-28,Cycle Inspection / Reopening Inspection,Establishment re-opened by DOHMH.,2,P,2024-06-28
500,50116972,2025-06-12,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2025-06-12
501,41718493,2023-09-21,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2023-09-21
502,50123613,2024-04-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
503,50085121,2023-06-01,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,17,,
504,50114363,2023-10-16,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,53,,
505,50130469,2023-07-25,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,43,,
506,50132764,2023-04-12,Administrative Miscellaneous / Re-inspection,Violations were cited in the following area(s).,,,
507,50163731,2025-04-29,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,26,N,
508,50129596,2024-09-09,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,41,,
509,50130528,2024-02-01,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,23,,
510,50088464,2024-12-10,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,27,B,2024-12-10
511,40396159,2024-02-01,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2024-02-01
512,50104311,2023-01-31,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,39,,
513,41139432,2024-09-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2024-09-11
514,50056980,2023-03-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,57,,
515,41172425,2024-12-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,24,,
516,40383281,2023-11-08,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,7,A,2023-11-08
517,50067421,2025-07-25,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,35,,
518,50112864,2023-03-07,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,20,,
519,50115485,2023-04-28,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,13,A,2023-04-28
520,50011586,2024-08-26,Cycle Inspection / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,67,,
521,50142911,2023-12-22,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,23,,
522,50131460,2025-07-22,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2025-07-22
523,50108893,2025-08-19,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
524,50105594,2024-10-04,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,22,,
525,50112864,2023-03-22,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,13,A,2023-03-22
526,50104702,2024-12-06,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,39,,
527,50039083,2024-06-20,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
528,50121689,2024-11-25,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,28,,
529,50117962,2025-01-28,Cycle Inspection / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,52,,
530,50117697,2024-11-15,Cycle Inspection / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,85,,
