id,inspection_id,code,description,critical_flag
685,636,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
686,34,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical
687,637,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
688,279,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment's food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical
689,638,,,Not Applicable
690,639,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment's food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical
691,204,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical
692,538,28-05,"Food adulterated or misbranded. Adulterated or misbranded food possessed, being manufactured, produced, packed, sold, offered for sale, delivered or given away",Not Critical
693,640,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
694,55,04O,Live animal other than fish in tank or service animal present in facility's food or non-food area.,Critical
695,641,02B,Hot TCS food item not held at or above 140 F.,Critical
696,642,02B,Hot TCS food item not held at or above 140 F.,Critical
697,643,,,Not Applicable
698,644,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical
699,645,05F,"Insufficient or no hot holding, cold storage or cold holding equipment provided to maintain Time/Temperature Control for Safety Foods (TCS) at required temperatures",Critical
700,646,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
701,647,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
702,337,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical
703,648,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
704,492,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
705,539,02G,Cold TCS food item held above 41 F; smoked or processed fish held above 38 F; intact raw eggs held above 45 F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical
706,649,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical
707,650,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical
708,539,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
709,337,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical
710,651,20-06,Current letter grade or Grade Pending card not posted,Not Critical
711,652,04M,Live roaches in facility's food or non-food area.,Critical
712,559,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
713,653,20-04,"""Choking first aid"" poster not posted. ""Alcohol and Pregnancy"" warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical
714,654,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
715,655,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
716,8,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical
717,656,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical
718,657,02G,Cold TCS food item held above 41 F; smoked or processed fish held above 38 F; intact raw eggs held above 45 F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical
719,160,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
720,235,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer's refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical
721,658,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical
722,659,02B,Hot TCS food item not held at or above 140 F.,Critical
723,507,08B,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",Not Critical
724,139,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
725,249,02B,Hot TCS food item not held at or above 140 F.,Critical
726,660,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
727,261,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer's refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical
728,661,10D,"Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.",Not Critical
729,662,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical
730,663,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical
731,664,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
732,665,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical
733,666,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
734,667,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer's refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical
735,668,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical
736,669,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
737,670,02G,Cold TCS food item held above 41 F; smoked or processed fish held above 38 F; intact raw eggs held above 45 F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical
738,671,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment's food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical
739,672,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
740,673,05C,"Food contact surface, refillable, reusable containers, or equipment improperly constructed, placed or maintained. Unacceptable material used. Culinary sink or other acceptable method not provided for washing food.",Critical
741,576,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical
742,674,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
743,133,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
744,675,02B,Hot TCS food item not held at or above 140 F.,Critical
745,245,28-06,Contract with a pest management professional not in place. Record of extermination activities not kept on premises.,Not Critical
746,676,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
747,515,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
748,677,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical
749,678,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical
750,679,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
751,455,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical
752,680,09B,Thawing procedure improper.,Not Critical
753,681,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
754,24,05F,"Insufficient or no hot holding, cold storage or cold holding equipment provided to maintain Time/Temperature Control for Safety Foods (TCS) at required temperatures",Critical
755,682,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
756,683,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical
757,684,20-08,Failure to post or conspicuously post healthy eating information,Not Critical
758,685,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical
759,686,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
760,687,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical
761,105,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
762,688,02B,Hot TCS food item not held at or above 140 F.,Critical
763,689,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
764,690,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
765,691,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical
766,613,02B,Hot TCS food item not held at or above 140 F.,Critical
767,176,02B,Hot TCS food item not held at or above 140 F.,Critical
768,415,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
769,51,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
770,692,04M,Live roaches in facility's food or non-food area.,Critical
771,328,04M,Live roaches in facility's food or non-food area.,Critical
772,693,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
773,453,09A,"Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE",Critical
774,694,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment's food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical
775,539,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment's food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical
776,695,02G,Cold TCS food item held above 41 F; smoked or processed fish held above 38 F; intact raw eggs held above 45 F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical
777,333,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical
778,696,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
779,47,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical
780,337,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical
781,697,06B,"Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.",Critical
782,698,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical
783,699,02B,Hot TCS food item not held at or above 140 F.,Critical
784,34,02B,Hot TCS food item not held at or above 140 F.,Critical
785,700,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical
786,701,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer's refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical
787,82,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical
788,702,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
789,490,02G,Cold TCS food item held above 41 F; smoked or processed fish held above 38 F; intact raw eggs held above 45 F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical
790,703,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
791,704,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical
792,74,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical
793,705,02B,Hot TCS food item not held at or above 140 F.,Critical
794,74,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical
795,249,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical
796,705,28-06,Contract with a pest management professional not in place. Record of extermination activities not kept on premises.,Not Critical
797,706,02B,Hot TCS food item not held at or above 140 F.,Critical
798,707,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical
799,708,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment's food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical
800,709,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
801,698,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical
802,710,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
803,711,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical
804,47,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical
805,712,20-04,"""Choking first aid"" poster not posted. ""Alcohol and Pregnancy"" warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical
806,713,02G,Cold TCS food item held above 41 F; smoked or processed fish held above 38 F; intact raw eggs held above 45 F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical
807,714,02G,Cold TCS food item held above 41 F; smoked or processed fish held above 38 F; intact raw eggs held above 45 F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical
808,715,03A,"Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site.",Critical
809,186,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical
810,716,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
811,717,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
812,718,02G,Cold TCS food item held above 41 F; smoked or processed fish held above 38 F; intact raw eggs held above 45 F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical
813,682,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
814,719,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
815,720,04M,Live roaches in facility's food or non-food area.,Critical
816,721,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
817,722,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical
818,433,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical
819,723,02G,Cold TCS food item held above 41 F; smoked or processed fish held above 38 F; intact raw eggs held above 45 F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical
820,724,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
821,328,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer's refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical
822,229,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
823,567,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
824,725,02G,Cold TCS food item held above 41 F; smoked or processed fish held above 38 F; intact raw eggs held above 45 F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical
825,726,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
826,727,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical
827,728,04J,"Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.",Critical
828,729,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
829,730,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
830,731,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
831,732,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical
832,336,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical
833,80,04M,Live roaches in facility's food or non-food area.,Critical
834,733,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
835,734,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
836,531,04M,Live roaches in facility's food or non-food area.,Critical
837,735,20-08,Failure to post or conspicuously post healthy eating information,Not Critical
838,249,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical
839,736,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
840,737,28-03,"Lighting fixture located over, by or within food storage, preparation, service or display facility, and facility where utensils and equipment are cleaned and stored, which may shatter due to extreme heat, temperature changes or accidental contact; not fitted with shatterproof bulb or shielded and encased, with end caps or other device.",Not Critical
841,208,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical
842,738,02G,Cold TCS food item held above 41 F; smoked or processed fish held above 38 F; intact raw eggs held above 45 F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical
843,739,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment's food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical
844,740,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical
845,741,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
846,319,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer's refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical
847,742,20-06,Current letter grade or Grade Pending card not posted,Not Critical
848,743,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer's refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical
849,504,02H,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 F to 70 F or less within 2 hours, and from 70 F to 41 F or less within 4 additional hours.",Critical
850,744,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
851,745,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
852,746,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
853,747,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical
854,748,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
855,749,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical
856,750,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
857,751,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical
858,752,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical
859,753,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
860,754,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
861,307,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
862,694,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer's refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical
863,755,02G,Cold TCS food item held above 41 F; smoked or processed fish held above 38 F; intact raw eggs held above 45 F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical
864,756,06B,"Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.",Critical
865,531,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
866,757,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical
867,758,20-06,Current letter grade or Grade Pending card not posted,Not Critical
868,759,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical
869,760,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical
870,761,,,Not Applicable
871,762,28-01,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying condition.",Not Critical
872,763,08B,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",Not Critical
873,224,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment's food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical
874,273,02G,Cold TCS food item held above 41 F; smoked or processed fish held above 38 F; intact raw eggs held above 45 F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical
875,764,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment's food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical
876,765,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
877,766,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
878,767,09B,Thawing procedure improper.,Not Critical
879,413,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
880,768,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
881,697,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
882,193,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer's refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical
883,769,02G,Cold TCS food item held above 41 F; smoked or processed fish held above 38 F; intact raw eggs held above 45 F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical
884,101,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer's refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical
885,526,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical
886,72,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
887,770,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
888,349,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical
889,771,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
890,772,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
891,580,02G,Cold TCS food item held above 41 F; smoked or processed fish held above 38 F; intact raw eggs held above 45 F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical
892,773,18-14,"Order or notice posted or required to be posted by the Department mutilated, obstructed or removed.",Not Critical
893,774,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
894,775,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
895,776,02B,Hot TCS food item not held at or above 140 F.,Critical
896,508,02B,Hot TCS food item not held at or above 140 F.,Critical
897,777,,,Not Applicable
898,778,04J,"Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.",Critical
899,779,,,Not Applicable
900,661,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer's refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical
